STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,MEASURE,,UNIT_MEASURE,,TRANSFORMATION,,ADJUSTMENT,,SEX,,AGE,,ACTIVITY,,FREQ,,TIME_PERIOD,,OBS_VALUE,,BASE_PER,,OBS_STATUS,,UNIT_MULT,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2024-Q3,,9.577335,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2024-Q2,,9.686194,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2021-Q3,,10.63865,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2021-Q2,,10.684,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2021-Q1,,12.96296,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2020-Q4,,15.01826,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,EU27_2020,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2011-Q3,,22.51358,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,EU27_2020,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2022-Q2,,14.43682,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2019-Q1,,11.55566,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2018-Q4,,11.55886,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2018-Q3,,11.45961,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2018-Q2,,11.8132,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2018-Q1,,12.59501,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2017-Q4,,12.42276,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2017-Q3,,12.72596,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2017-Q2,,12.79849,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2017-Q1,,12.82588,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2016-Q4,,13.28494,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2016-Q3,,12.92616,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2016-Q2,,12.52406,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2016-Q1,,12.08409,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2015-Q4,,12.31996,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2015-Q3,,13.15887,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2015-Q2,,13.26447,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2015-Q1,,13.71092,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2014-Q4,,13.91053,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2014-Q3,,13.56441,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2014-Q2,,13.23575,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2014-Q1,,12.53684,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2013-Q4,,12.58715,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2013-Q3,,12.47284,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2013-Q2,,11.72595,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2013-Q1,,12.11692,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2012-Q4,,11.95286,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUT,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2012-Q4,,9.401009,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUT,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2012-Q3,,10.33896,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2012-Q2,,11.54498,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2012-Q1,,11.63089,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2011-Q4,,11.44613,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2011-Q3,,11.21654,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2011-Q2,,11.21978,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2011-Q1,,11.56107,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2010-Q4,,11.53992,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2010-Q3,,11.51967,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2010-Q2,,11.68014,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2010-Q1,,11.48402,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2009-Q4,,11.31159,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2009-Q3,,11.65532,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2009-Q2,,12.01973,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2009-Q1,,10.96816,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2008-Q4,,9.286251,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2008-Q3,,8.42132,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2008-Q2,,9.016336,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2008-Q1,,8.553048,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2007-Q4,,9.70518,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2007-Q3,,9.292392,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2007-Q2,,8.986316,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2007-Q1,,9.463818,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2006-Q4,,9.540049,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2006-Q3,,9.813636,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2006-Q2,,10.17096,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2006-Q1,,10.51085,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2005-Q4,,10.58685,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2005-Q3,,10.48624,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2005-Q2,,10.60072,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2005-Q1,,10.79212,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2004-Q4,,11.15869,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2004-Q3,,11.52673,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2004-Q2,,11.21007,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2004-Q1,,11.57123,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2003-Q4,,11.54911,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2003-Q3,,11.82631,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2003-Q2,,12.23508,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2003-Q1,,12.22059,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2002-Q4,,12.4262,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2002-Q3,,12.66871,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2002-Q2,,12.81618,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2002-Q1,,13.2407,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2001-Q4,,13.89828,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2001-Q3,,13.51674,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2001-Q2,,13.86374,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2001-Q1,,12.80363,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2000-Q4,,12.20054,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2000-Q3,,11.57725,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2000-Q2,,11.99096,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2024-Q1,,9.454679,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2023-Q4,,9.531002,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,AUS,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2023-Q3,,8.27167,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2023-Q1,,15.29007,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2022-Q4,,16.02174,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2022-Q3,,16.86167,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2022-Q2,,17.30767,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2022-Q1,,15.33707,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2021-Q4,,15.85383,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2021-Q3,,18.18775,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2021-Q2,,19.12954,,,,A,,0,,1,
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),,I,BEL,,UNE_LF,,PT_LF_SUB,,_Z,,Y,,_T,,Y15T24,,_Z,,Q,,2021-Q1,,19.82697,,,,A,,0,,1,
