Country,Year,Index_value
Namibia,1998,0.514
Saudi Arabia,1998,0.542
Singapore,1998,0.616
United Arab Emirates,1998,0.548
Belize,1999,0.555
Dominican Republic,1999,0.548
Gabon,1999,0.538
Kuwait,1999,0.595
Malaysia,1999,0.603
Mauritius,1999,0.542
Mexico,1999,0.532
Namibia,1999,0.506
Saudi Arabia,1999,0.549
Singapore,1999,0.633
United Arab Emirates,1999,0.561
Belize,2000,0.563
Dominican Republic,2000,0.554
Gabon,2000,0.545
Kuwait,2000,0.595
Malaysia,2000,0.619
Mauritius,2000,0.546
Mexico,2000,0.544
Namibia,2000,0.51
Saudi Arabia,2000,0.555
Singapore,2000,0.649
United Arab Emirates,2000,0.573
Belize,2001,0.57
Dominican Republic,2001,0.56
Gabon,2001,0.551
Kuwait,2001,0.592
Malaysia,2001,0.613
Mauritius,2001,0.561
Mexico,2001,0.553
Namibia,2001,0.521
Saudi Arabia,2001,0.563
Singapore,2001,0.657
United Arab Emirates,2001,0.582
Belize,2002,0.583
Dominican Republic,2002,0.566
Gabon,2002,0.557
Kuwait,2002,0.598
Malaysia,2002,0.611
Mauritius,2002,0.569
Mexico,2002,0.566
Namibia,2002,0.517
Saudi Arabia,2002,0.572
Singapore,2002,0.67
United Arab Emirates,2002,0.591
Belize,2003,0.596
Dominican Republic,2003,0.573
Gabon,2003,0.563
Kuwait,2003,0.603
Malaysia,2003,0.62
Mauritius,2003,0.583
Mexico,2003,0.572
Namibia,2003,0.52
Saudi Arabia,2003,0.58
Singapore,2003,0.681
United Arab Emirates,2003,0.6
Belize,2004,0.608
Dominican Republic,2004,0.579
Gabon,2004,0.569
Kuwait,2004,0.598
Malaysia,2004,0.621
Mauritius,2004,0.595
Mexico,2004,0.589
Namibia,2004,0.518
Saudi Arabia,2004,0.594
Singapore,2004,0.688
United Arab Emirates,2004,0.609
Belize,2005,0.596
Dominican Republic,2005,0.585
Gabon,2005,0.575
Kuwait,2005,0.583
Malaysia,2005,0.608
Mauritius,2005,0.614
Mexico,2005,0.604
Namibia,2005,0.516
Saudi Arabia,2005,0.604
Singapore,2005,0.739
United Arab Emirates,2005,0.622
Belize,2006,0.619
Dominican Republic,2006,0.59
Gabon,2006,0.58
Kuwait,2006,0.594
Malaysia,2006,0.615
Mauritius,2006,0.623
Mexico,2006,0.62
Namibia,2006,0.513
Saudi Arabia,2006,0.619
Singapore,2006,0.741
United Arab Emirates,2006,0.631
Belize,2007,0.626
Dominican Republic,2007,0.595
Gabon,2007,0.585
Kuwait,2007,0.592
Malaysia,2007,0.64
Mauritius,2007,0.632
Mexico,2007,0.621
Namibia,2007,0.519
Saudi Arabia,2007,0.634
Singapore,2007,0.736
United Arab Emirates,2007,0.641
Belize,2008,0.633
Dominican Republic,2008,0.598
Gabon,2008,0.589
Kuwait,2008,0.595
Malaysia,2008,0.664
Mauritius,2008,0.642
Mexico,2008,0.627
Namibia,2008,0.521
Saudi Arabia,2008,0.649
Singapore,2008,0.751
United Arab Emirates,2008,0.65
Belize,2009,0.635
Dominican Republic,2009,0.601
Gabon,2009,0.594
Kuwait,2009,0.596
Malaysia,2009,0.676
Mauritius,2009,0.655
Mexico,2009,0.637
Namibia,2009,0.528
Saudi Arabia,2009,0.664
Singapore,2009,0.754
United Arab Emirates,2009,0.659
Belize,2010,0.663
Dominican Republic,2010,0.606
Gabon,2010,0.599
Kuwait,2010,0.599
Malaysia,2010,0.687
Mauritius,2010,0.664
Mexico,2010,0.634
Namibia,2010,0.538
Saudi Arabia,2010,0.691
Singapore,2010,0.788
United Arab Emirates,2010,0.669
Belize,2011,0.65
Dominican Republic,2011,0.611
Gabon,2011,0.604
Kuwait,2011,0.601
Malaysia,2011,0.694
Mauritius,2011,0.681
Mexico,2011,0.649
Namibia,2011,0.549
Saudi Arabia,2011,0.719
Singapore,2011,0.796
United Arab Emirates,2011,0.678
Belize,2012,0.665
Dominican Republic,2012,0.616
Gabon,2012,0.608
Kuwait,2012,0.608
Malaysia,2012,0.696
Mauritius,2012,0.699
Mexico,2012,0.658
Namibia,2012,0.557
Saudi Arabia,2012,0.747
Singapore,2012,0.808
United Arab Emirates,2012,0.687
Belize,2013,0.665
Dominican Republic,2013,0.619
Gabon,2013,0.612
Kuwait,2013,0.601
Malaysia,2013,0.701
Mauritius,2013,0.707
Mexico,2013,0.652
Namibia,2013,0.562
Saudi Arabia,2013,0.77
Singapore,2013,0.813
United Arab Emirates,2013,0.697
Belize,2014,0.669
Dominican Republic,2014,0.641
Gabon,2014,0.618
Kuwait,2014,0.612
Malaysia,2014,0.708
Mauritius,2014,0.729
Mexico,2014,0.661
Namibia,2014,0.565
Saudi Arabia,2014,0.787
Singapore,2014,0.843
United Arab Emirates,2014,0.711
Belize,2015,0.674
Dominican Republic,2015,0.652
Gabon,2015,0.623
Kuwait,2015,0.623
Malaysia,2015,0.713
Mauritius,2015,0.721
Mexico,2015,0.672
Namibia,2015,0.569
Saudi Arabia,2015,0.802
Singapore,2015,0.875
United Arab Emirates,2015,0.735
Belize,2016,0.696
Dominican Republic,2016,0.655
Gabon,2016,0.628
Kuwait,2016,0.629
Malaysia,2016,0.718
Mauritius,2016,0.728
Mexico,2016,0.677
Namibia,2016,0.571
Saudi Arabia,2016,0.803
Singapore,2016,0.892
United Arab Emirates,2016,0.743
Belize,2017,0.691
Dominican Republic,2017,0.657
Gabon,2017,0.633
Kuwait,2017,0.635
Malaysia,2017,0.724
Mauritius,2017,0.73
Mexico,2017,0.681
Namibia,2017,0.581
Saudi Arabia,2017,0.784
Singapore,2017,0.913
United Arab Emirates,2017,0.783
Belize,2018,0.691
Dominican Republic,2018,0.66
Gabon,2018,0.639
Kuwait,2018,0.638
Malaysia,2018,0.719
Mauritius,2018,0.733
Mexico,2018,0.694
Namibia,2018,0.582
Saudi Arabia,2018,0.789
Singapore,2018,0.921
United Arab Emirates,2018,0.802
Belize,2019,0.695
Dominican Republic,2019,0.666
Gabon,2019,0.65
Kuwait,2019,0.638
Malaysia,2019,0.726
Mauritius,2019,0.736
Mexico,2019,0.703
Namibia,2019,0.584
Saudi Arabia,2019,0.789
Singapore,2019,0.924
United Arab Emirates,2019,0.802
Belize,distance_to_mex_1990,0.015000000000000013
Dominican Republic,distance_to_mex_1990,0.0050000000000000044
Gabon,distance_to_mex_1990,0.007000000000000006
Kuwait,distance_to_mex_1990,0.0040000000000000036
Malaysia,distance_to_mex_1990,0.008000000000000007
Mauritius,distance_to_mex_1990,0.0010000000000000009
Mexico,distance_to_mex_1990,0.0
Namibia,distance_to_mex_1990,0.015000000000000013
Saudi Arabia,distance_to_mex_1990,0.009000000000000008
Singapore,distance_to_mex_1990,0.008000000000000007
United Arab Emirates,distance_to_mex_1990,0.006000000000000005
