Country,Concept,Score
Brazil,Pays bills on time,81.80000186
Cambodia ,Pays bills on time,68.20639372
Chile,Pays bills on time,81.76567554
Costa Rica,Pays bills on time,85.04273295
Croatia ,Pays bills on time,86.06947064
Cyprus ,Pays bills on time,24.77271408
Estonia,Pays bills on time,96.26566768
Finland ,Pays bills on time,82.60022998
France ,Pays bills on time,82.19407797
Germany,Pays bills on time,96.07599974
Greece,Pays bills on time,86.70429587
Hong Kong (China),Pays bills on time,86.23808622
Hungary ,Pays bills on time,74.11701083
Indonesia ,Pays bills on time,68.09999943
Ireland ,Pays bills on time,94.79150772
Italy ,Pays bills on time,62.13974953
Jordan,Pays bills on time,74.17986393
Korea,Pays bills on time,68.61466169
Latvia ,Pays bills on time,80.91209531
Lithuania,Pays bills on time,73.31460714
Luxembourg ,Pays bills on time,80.40536642
Malaysia ,Pays bills on time,62.59985566
Malta ,Pays bills on time,91.34328365
Mexico ,Pays bills on time,86.27915978
Netherlands,Pays bills on time,88.57731819
Panama,Pays bills on time,80.36657572
Paraguay ,Pays bills on time,76.58333182
Peru,Pays bills on time,77.90157199
Philippines,Pays bills on time,66.84855223
Poland ,Pays bills on time,70.20000219
Portugal ,Pays bills on time,87.37270832
Romania ,Pays bills on time,75.52238703
Saudi Arabia ,Pays bills on time,67.40659475
Spain,Pays bills on time,93.21554303
Sweden ,Pays bills on time,88.67924809
Thailand,Pays bills on time,85.81680655
Uruguay ,Pays bills on time,78.83492112
Yemen,Pays bills on time,23.29301983
Overall Average,Pays bills on time,77.25160794
OECD Average,Pays bills on time,82.9633829
