STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,UNIT_TYPE,DATABASE_ID,TIME_FORMAT,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,UNIT_TYPE_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,DATA_SOURCE_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CHL,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,35.9495014878393,A,Triennial,Chile,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CHN,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,72.0672847135728,A,Triennial,China,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,COL,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,43.8633661156329,A,Triennial,Colombia,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,COD,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,65.20456538370189,A,Triennial,"Congo, Dem. Rep.",Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,COG,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,55.90359207647651,A,Triennial,"Congo, Rep.",Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CRI,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,59.3616638879395,A,Triennial,Costa Rica,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CIV,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,63.2309628734743,A,Triennial,Côte d’Ivoire,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,HRV,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,51.8411108252299,A,Triennial,Croatia,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CYP,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,41.2406862365501,A,Triennial,Cyprus,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,CZE,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,62.631174483266705,A,Triennial,Czechia,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,DNK,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,81.1663597436917,A,Triennial,Denmark,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,DOM,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,57.2579735228032,A,Triennial,Dominican Republic,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ECU,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,32.084656802507,A,Triennial,Ecuador,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,EGY,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,25.9286350084592,A,Triennial,"Egypt, Arab Rep.",Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,SLV,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,57.5405367970427,A,Triennial,El Salvador,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,EST,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,51.75838126979559,A,Triennial,Estonia,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,ETH,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,48.1070116062815,A,Triennial,Ethiopia,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,FIN,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,71.0336148777364,A,Triennial,Finland,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,FRA,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,67.14523497112161,A,Triennial,France,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,GAB,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,56.0127454041917,A,Triennial,Gabon,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,GEO,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,13.3207809872751,A,Triennial,Georgia,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,DEU,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,79.8410894838139,A,Triennial,Germany,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,GHA,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,55.3160442955439,A,Triennial,Ghana,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,GRC,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,23.6512524529821,A,Triennial,Greece,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,GTM,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,55.745241498424306,A,Triennial,Guatemala,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,GIN,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,45.194101488746,A,Triennial,Guinea,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,HTI,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,44.826835805496,A,Triennial,Haiti,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,HND,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,39.6811490531425,A,Triennial,Honduras,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,HKG,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,67.3772483359084,A,Triennial,"Hong Kong SAR, China",Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,HUN,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,38.2045485614037,A,Triennial,Hungary,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IND,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,38.2760407672641,A,Triennial,India,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IDN,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,69.2987122899209,A,Triennial,Indonesia,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IRN,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,42.155225949275696,A,Triennial,"Iran, Islamic Rep.",Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A3,IRQ,WB_FINDEX_SAVE_ANY_T_D,_T,Y_GE15,_T,PT_RESP,_T,_T,_T,2014,RATIO,WB_FINDEX,602,0,WB_FINDEX,PU,48.6185582026753,A,Triennial,Iraq,Saved any money,Total,15 years old and over,Total,Percentage of respondents,Total,Total,Total,Ratio,Global Findex Database,CCYY,Units,Normal value,Global Findex Database,Public
